Value,Low,Min,Avg,Max,Low2,Min2,Avg2,Max2,Out
   A,48.12,8.87,1,1.66,0,0,0,0,16
   B,0,0,0,0,94.35,2.21,1,2.16,16
   C,30.7025,7.3825,1,13.24,0,0,0,0,16
   D,0,0,0,0,63.3075,14.3725,1,7.0025,16
   E,4.0225,1.5625,1,2.395,0,0,0,0,16
   F,0,0,0,0,0.33,0.055,1,-0.1175,16
   G,23.3,11.41,1,5.27,0,0,0,0,16
   H,0,0,0,0,5.5325,3.2225,1,11.305,16
   I,5.8275,8.8475,1,10.1525,0,0,0,0,16
   J,0,0,0,0,61.325,13.24,1,6.7,16
   L,0,1.49,1,14.47,0,0,0,0,16
   M,0,0,0,0,34.5175,11.6175,1,7.645,16
   N,25.6275,1.2925,1,1.845,0,0,0,0,16
   O,0,0,0,0,37.515,3.835,1,8.7325,16
   P,32.8125,7.7975,1,4.0725,0,0,0,0,16
   Q,0,0,0,0,53.74,8.75,1,5.9225,16
